"X","Y","Z"
2680725.18,1247849.29,412.3
2680725.5,1247854.96,412.31
2680725.43,1247853.83,412.32
2680725.4,1247853.29,412.3
2680725.37,1247852.75,412.32
2680725.33,1247852.15,412.33
2680725.3,1247851.58,412.34
2680725.27,1247851.02,412.34
2680725.24,1247850.42,412.4
2680725.21,1247849.88,412.42
2680725.17,1247849.36,412.38
2680725.98,1247855.01,412.3
2680725.91,1247853.88,412.32
2680725.87,1247853.27,412.34
2680725.85,1247852.75,412.35
2680725.81,1247852.2,412.33
2680725.78,1247851.66,412.35
2680725.75,1247851.07,412.35
2680725.71,1247850.5,412.37
2680725.68,1247849.93,412.38
2680725.65,1247849.36,412.39
2680725.6,1247848.82,412.38
2680725.58,1247848.3,412.39
2680725.55,1247847.75,412.37
2680725.52,1247847.16,412.38
2680725.48,1247846.58,412.37
2680726.35,1247856.09,412.3
2680726.31,1247855.54,412.3
2680726.25,1247854.45,412.3
2680726.22,1247853.88,412.31
2680726.18,1247853.27,412.34
2680726.15,1247852.75,412.33
2680726.12,1247852.15,412.34
2680726.08,1247851.63,412.34
2680726.05,1247851.06,412.37
2680726.02,1247850.55,412.35
2680725.99,1247849.92,412.39
2680725.95,1247849.37,412.39
2680725.92,1247848.82,412.39
2680725.89,1247848.24,412.41
2680725.85,1247847.68,412.38
2680725.81,1247847.17,412.37
2680725.79,1247846.62,412.38
2680726.89,1247856.27,412.3
2680726.85,1247855.72,412.3
2680726.73,1247853.51,412.31
2680726.7,1247852.92,412.31
2680726.66,1247852.33,412.34
2680726.62,1247851.81,412.33
2680726.6,1247851.21,412.35
2680726.56,1247850.67,412.35
2680726.53,1247850.12,412.37
2680726.5,1247849.59,412.38
2680726.47,1247849,412.39
2680726.43,1247848.42,412.37
2680726.4,1247847.87,412.41
2680726.35,1247847.31,412.37
2680726.33,1247846.77,412.38
2680727.35,1247856.47,412.32
2680727.33,1247855.9,412.31
2680727.26,1247854.79,412.3
2680727.22,1247854.17,412.3
2680727.19,1247853.65,412.32
2680727.16,1247853.1,412.33
2680727.12,1247852.58,412.32
2680727.08,1247851.97,412.33
2680727.06,1247851.4,412.33
2680727.03,1247850.85,412.35
2680727,1247850.28,412.36
2680726.96,1247849.72,412.35
2680726.93,1247849.18,412.36
2680726.9,1247848.65,412.34
2680726.85,1247848.08,412.38
2680726.83,1247847.48,412.37
2680726.8,1247846.95,412.37
2680727.81,1247856.56,412.32
2680727.75,1247855.48,412.31
2680727.71,1247854.91,412.32
2680727.68,1247854.32,412.3
2680727.65,1247853.78,412.32
2680727.6,1247853.18,412.32
2680727.58,1247852.65,412.35
2680727.55,1247852.11,412.34
2680727.52,1247851.57,412.34
2680727.48,1247850.98,412.35
2680727.45,1247850.4,412.37
2680727.41,1247849.86,412.36
2680727.37,1247849.28,412.38
2680727.35,1247848.73,412.37
2680727.31,1247848.2,412.39
2680727.28,1247847.65,412.37
2680727.25,1247847.08,412.38
2680727.21,1247846.49,412.38
2680728.25,1247856.55,412.31
2680728.21,1247855.99,412.3
2680728.15,1247854.89,412.31
2680728.05,1247853.16,412.32
2680728.02,1247852.65,412.3
2680727.98,1247852.04,412.33
2680727.95,1247851.52,412.34
2680727.92,1247850.95,412.37
2680727.89,1247850.42,412.35
2680727.85,1247849.83,412.36
2680727.81,1247849.27,412.35
2680727.78,1247848.71,412.37
2680727.75,1247848.13,412.39
2680727.72,1247847.59,412.37
2680727.69,1247847.06,412.4
2680727.65,1247846.51,412.39
2680728.73,1247855.65,412.31
2680728.7,1247855.07,412.32
2680728.62,1247854,412.31
2680728.6,1247853.43,412.33
2680728.56,1247852.87,412.31
2680728.53,1247852.27,412.33
2680728.5,1247851.75,412.32
2680728.47,1247851.14,412.35
2680728.43,1247850.61,412.34
2680728.4,1247850.06,412.36
2680728.37,1247849.52,412.4
2680728.33,1247848.93,412.36
2680728.3,1247848.36,412.39
2680728.27,1247847.81,412.37
2680728.24,1247847.25,412.38
2680728.21,1247846.68,412.42
2680729.06,1247855.88,412.3
2680729.03,1247855.29,412.35
2680728.99,1247854.75,412.32
2680728.96,1247854.17,412.31
2680728.92,1247853.63,412.31
2680728.89,1247853.1,412.32
2680728.85,1247852.55,412.32
2680728.83,1247851.97,412.32
2680728.79,1247851.36,412.36
2680728.76,1247850.85,412.34
2680728.73,1247850.25,412.37
2680728.69,1247849.71,412.36
2680728.66,1247849.15,412.38
2680728.62,1247848.63,412.38
2680728.6,1247848.04,412.39
2680728.56,1247847.46,412.4
2680728.53,1247846.9,412.39
2680729.41,1247853.22,412.31
2680729.37,1247852.66,412.33
2680729.35,1247852.12,412.38
2680729.31,1247851.57,412.36
2680729.28,1247851,412.35
2680729.25,1247850.4,412.37
2680729.21,1247849.89,412.35
2680729.18,1247849.29,412.36
2680729.15,1247848.76,412.37
2680729.1,1247848.21,412.38
2680729.08,1247847.67,412.37
2680729.05,1247847.09,412.37
2680729.01,1247846.52,412.36
2680730.04,1247855.43,412.31
2680729.94,1247853.79,412.34
2680729.91,1247853.18,412.34
2680729.87,1247852.65,412.34
2680729.83,1247852.05,412.37
2680729.81,1247851.53,412.37
2680729.78,1247850.98,412.35
2680729.74,1247850.46,412.33
2680729.71,1247849.86,412.35
2680729.68,1247849.3,412.35
2680729.64,1247848.73,412.37
2680729.6,1247848.15,412.37
2680729.58,1247847.62,412.36
2680729.55,1247847.09,412.38
2680729.51,1247846.54,412.38
2680730.35,1247853.52,412.3
2680730.31,1247852.92,412.35
2680730.29,1247852.34,412.34
2680730.26,1247851.81,412.34
2680730.22,1247851.22,412.34
2680730.19,1247850.67,412.35
2680730.16,1247850.14,412.35
2680730.12,1247849.62,412.34
2680730.08,1247849.02,412.35
2680730.06,1247848.41,412.41
2680730.02,1247847.89,412.36
2680729.99,1247847.33,412.36
2680729.96,1247846.78,412.36
2680730.35,1247848.65,412.36
2680730.33,1247848.07,412.36
2680730.29,1247847.5,412.36
2680730.26,1247846.95,412.35
2680725.4,1247846.62,412.35
2680725.35,1247847.1,412.35
2680725.28,1247847.61,412.32
2680725.23,1247848.09,412.33
2680725.66,1247846.83,412.36
2680725.6,1247847.34,412.34
2680725.54,1247847.86,412.33
2680725.47,1247848.4,412.33
2680725.41,1247848.87,412.35
2680725.33,1247849.41,412.32
2680725.28,1247849.88,412.37
2680725.22,1247850.39,412.37
2680726,1247846.9,412.35
2680725.93,1247847.45,412.33
2680725.87,1247847.91,412.33
2680725.81,1247848.46,412.35
2680725.75,1247848.93,412.33
2680725.68,1247849.43,412.34
2680725.62,1247849.91,412.33
2680725.56,1247850.46,412.33
2680725.49,1247850.98,412.32
2680725.43,1247851.49,412.31
2680725.37,1247852.01,412.3
2680725.3,1247852.5,412.3
2680725.18,1247853.5,412.3
2680727.06,1247846.5,412.32
2680727,1247846.99,412.37
2680726.94,1247847.47,412.35
2680726.87,1247848.01,412.37
2680726.81,1247848.53,412.37
2680726.75,1247849.03,412.35
2680726.68,1247849.54,412.38
2680726.62,1247850.05,412.35
2680726.56,1247850.53,412.36
2680726.49,1247851.04,412.31
2680726.43,1247851.56,412.32
2680726.35,1247852.1,412.3
2680726.3,1247852.58,412.31
2680726.48,1247846.64,412.3
2680726.42,1247847.11,412.31
2680726.35,1247847.64,412.36
2680726.29,1247848.12,412.36
2680726.23,1247848.64,412.33
2680726.17,1247849.1,412.35
2680726.1,1247849.65,412.31
2680726.03,1247850.16,412.34
2680725.97,1247850.67,412.33
2680725.91,1247851.18,412.32
2680725.85,1247851.68,412.31
2680725.78,1247852.16,412.32
2680726.58,1247847.27,412.34
2680726.52,1247847.76,412.36
2680726.46,1247848.25,412.33
2680726.39,1247848.79,412.34
2680726.33,1247849.31,412.32
2680726.27,1247849.8,412.34
2680726.2,1247850.33,412.33
2680726.14,1247850.83,412.31
2680726.08,1247851.31,412.32
2680726.01,1247851.8,412.32
2680725.95,1247852.33,412.31
2680725.87,1247852.87,412.3
2680726.64,1247846.79,412.35
2680727.49,1247848.72,412.32
2680727.43,1247849.21,412.33
2680727.37,1247849.74,412.32
2680727.3,1247850.26,412.33
2680727.23,1247850.77,412.31
2680727.17,1247851.29,412.32
2680727.04,1247852.27,412.3
2680726.91,1247853.29,412.3
2680727.41,1247846.46,412.32
2680727.33,1247846.99,412.35
2680727.27,1247847.51,412.36
2680727.21,1247848.02,412.35
2680727.14,1247848.53,412.34
2680727.08,1247849.03,412.33
2680727.02,1247849.52,412.32
2680726.95,1247850.02,412.35
2680726.89,1247850.53,412.33
2680726.81,1247851.07,412.33
2680726.76,1247851.56,412.32
2680726.69,1247852.11,412.31
2680726.62,1247852.58,412.31
2680727.75,1247846.72,412.35
2680727.69,1247847.2,412.36
2680727.62,1247847.74,412.35
2680727.56,1247848.22,412.34
2680728.06,1247846.4,412.37
2680728,1247846.96,412.34
2680727.93,1247847.43,412.34
2680727.87,1247847.93,412.34
2680727.81,1247848.4,412.37
2680727.74,1247848.96,412.34
2680727.67,1247849.48,412.33
2680727.6,1247849.98,412.33
2680727.54,1247850.5,412.32
2680727.48,1247851,412.32
2680727.35,1247851.98,412.33
2680727.29,1247852.49,412.3
2680728.49,1247846.68,412.35
2680728.43,1247847.2,412.33
2680728.35,1247847.66,412.36
2680728.3,1247848.22,412.35
2680728.23,1247848.73,412.35
2680728.17,1247849.24,412.33
2680728.1,1247849.75,412.33
2680728.03,1247850.26,412.31
2680727.97,1247850.74,412.32
2680727.91,1247851.24,412.32
2680727.77,1247852.3,412.32
2680727.71,1247852.78,412.31
2680727.58,1247853.8,412.3
2680728.33,1247849.75,412.33
2680728.26,1247850.26,412.33
2680728.19,1247850.78,412.3
2680728.12,1247851.31,412.32
2680727.99,1247852.34,412.3
2680727.87,1247853.31,412.32
2680728.72,1247846.7,412.33
2680728.65,1247847.22,412.36
2680728.58,1247847.75,412.35
2680728.52,1247848.25,412.37
2680728.45,1247848.77,412.34
2680728.39,1247849.27,412.33
2680729.44,1247846.66,412.34
2680729.37,1247847.2,412.36
2680729.31,1247847.7,412.33
2680729.25,1247848.17,412.34
2680729.18,1247848.66,412.33
2680729.1,1247849.2,412.32
2680729.04,1247849.73,412.35
2680728.98,1247850.22,412.3
2680728.91,1247850.75,412.32
2680728.85,1247851.23,412.36
2680728.78,1247851.74,412.3
2680729.06,1247846.4,412.35
2680728.99,1247846.91,412.36
2680728.92,1247847.42,412.36
2680728.85,1247847.93,412.35
2680728.79,1247848.43,412.35
2680728.73,1247848.91,412.34
2680728.67,1247849.42,412.32
2680728.6,1247849.93,412.33
2680728.53,1247850.49,412.32
2680728.47,1247850.96,412.34
2680728.4,1247851.51,412.32
2680728.33,1247851.99,412.3
2680729.89,1247846.41,412.36
2680729.81,1247846.9,412.36
2680729.76,1247847.4,412.32
2680729.7,1247847.89,412.31
2680729.62,1247848.42,412.34
2680729.56,1247848.95,412.32
2680729.42,1247849.97,412.3
