"","OBJECTID","Status","BaumGattun","xtf_id","BaumArtLat","Kategorie","Pflanzjahr","Baumtyp","Quartier","Strasse","BaumNameLa","Baumnummer","POI_ID","BaumNameDe","Baumtyptex","Genauigkei","geometry"
"30840",30840,"Grünanlage","Liquidambar","30839","spec.","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5520","bm_30839","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680709.59008789, 1247814.53009033)
"30841",30841,"Grünanlage","Liquidambar","30840","spec.","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5521","bm_30840","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680708.56011963, 1247827.38012696)
"30842",30842,"Grünanlage","Acer","30841","japonicum","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5522","bm_30841","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680696.7401123, 1247833.03009033)
"30843",30843,"Grünanlage","Acer","30842","japonicum","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5523","bm_30842","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680701.88012695, 1247836.37011719)
"30844",30844,"Grünanlage","Ilex","30843","aquifolium","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5524","bm_30843","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680716.53009033, 1247820.95007324)
"30845",30845,"Grünanlage","Ilex","30844","aquifolium","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5525","bm_30844","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680715.7600708, 1247820.44012451)
"30846",30846,"Grünanlage","Ilex","30845","aquifolium","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5526","bm_30845","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680703.68011475, 1247806.56011963)
"30847",30847,"Grünanlage","Ilex","30846","aquifolium","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5527","bm_30846","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680703.68011475, 1247805.53009033)
"30848",30848,"Grünanlage","Ilex","30847","aquifolium","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5528","bm_30847","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680704.20007324, 1247807.08007813)
"30849",30849,"Grünanlage","Taxus","30848","baccata","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5529","bm_30848","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680712.16009521, 1247797.31011963)
"30850",30850,"Grünanlage","Taxus","30849","baccata","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5530","bm_30849","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680709.85009766, 1247802.71008301)
"30851",30851,"Grünanlage","Juniperus","30850","spec.","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Juniperus spec.","WD-5531","bm_30850","Wacholder, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680707.02008057, 1247807.08007812)
"30852",30852,"Grünanlage","Acer","30851","japonicum","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5532","bm_30851","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680705.7401123, 1247797.31011963)
"30853",30853,"Grünanlage","Acer","30852","japonicum","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5533","bm_30852","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680710.11010742, 1247793.46008301)
"30854",30854,"Grünanlage","Acer","30853","japonicum","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5534","bm_30853","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680705.22009277, 1247793.20007324)
"30855",30855,"Grünanlage","Carpinus","30854","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5535","bm_30854","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680695.20007324, 1247788.32012939)
"30856",30856,"Grünanlage","Carpinus","30855","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5536","bm_30855","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680694.43011475, 1247782.15008545)
"30857",30857,"Grünanlage","Carpinus","30856","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5537","bm_30856","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680684.92010498, 1247771.10009765)
"30858",30858,"Grünanlage","Carpinus","30857","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5538","bm_30857","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680708.82012939, 1247778.30010986)
"30859",30859,"Grünanlage","Carpinus","30858","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5539","bm_30858","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680710.11010742, 1247775.47009278)
"30860",30860,"Grünanlage","Carpinus","30859","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5540","bm_30859","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680708.56011963, 1247768.53009033)
"30861",30861,"Grünanlage","Carpinus","30860","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5541","bm_30860","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680709.59008789, 1247767.5100708)
"30862",30862,"Grünanlage","Picea","30861","abies","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5542","bm_30861","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680697.2600708, 1247770.08007813)
"30863",30863,"Grünanlage","Liquidambar","30862","spec.","Parkbaum","1890","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5543","bm_30862","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680683.90008545, 1247757.49011231)
"30864",30864,"Grünanlage","Liquidambar","30863","spec.","Parkbaum","1890","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5544","bm_30863","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680677.73010254, 1247763.40008545)
"30865",30865,"Grünanlage","Liquidambar","30864","spec.","Parkbaum","1890","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5545","bm_30864","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680687.2401123, 1247759.28009033)
"30866",30866,"Grünanlage","Liquidambar","30865","spec.","Parkbaum","1890","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5546","bm_30865","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680690.32012939, 1247762.37011719)
"30867",30867,"Grünanlage","Liquidambar","30866","spec.","Parkbaum","1890","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5547","bm_30866","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680692.12011719, 1247765.45007324)
"30868",30868,"Grünanlage","Ilex","30867","aquifolium","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5548","bm_30867","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680671.05010986, 1247755.69012451)
"30869",30869,"Grünanlage","Betula","30868","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5549","bm_30868","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680675.67010498, 1247744.64007568)
"30870",30870,"Grünanlage","Betula","30869","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5550","bm_30869","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680667.19012451, 1247750.2901001)
"30871",30871,"Grünanlage","Betula","30870","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5551","bm_30870","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680657.84008789, 1247741.71008301)
"30872",30872,"Grünanlage","Prunus","30871","serrulata","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Prunus serrulata","WD-5552","bm_30871","Japanische Blüten-Kirsche","nicht zugeordnet","Bildschirmeingabe",c(2680684.30010986, 1247797.73010254)
"30873",30873,"Grünanlage","Laubbaum","30872",NA,"Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Laubbaum","WD-5553","bm_30872","Laubbaum","nicht zugeordnet","Bildschirmeingabe",c(2680658.61010742, 1247759.96008301)
"30874",30874,"Grünanlage","Laubbaum","30873",NA,"Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Laubbaum","WD-5554","bm_30873","Laubbaum","nicht zugeordnet","Bildschirmeingabe",c(2680652.95007324, 1247758.16009521)
"30875",30875,"Grünanlage","Fagus","30874","sylvatica","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Fagus sylvatica","WD-5555","bm_30874","Rotbuche","nicht zugeordnet","Bildschirmeingabe",c(2680654.40008545, 1247790.05010986)
"30876",30876,"Grünanlage","Fagus","30875","sylvatica","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Fagus sylvatica","WD-5556","bm_30875","Rotbuche","nicht zugeordnet","Bildschirmeingabe",c(2680642.92010498, 1247777.95007324)
"30877",30877,"Grünanlage","Fagus","30876","sylvatica","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Fagus sylvatica","WD-5557","bm_30876","Rotbuche","nicht zugeordnet","Bildschirmeingabe",c(2680637.33007812, 1247770.97009278)
"30878",30878,"Grünanlage","Tsuga","30877","canadensis","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Tsuga canadensis","WD-5558","bm_30877","Kanadische Hemlocktanne, Schirlingstanne","nicht zugeordnet","Bildschirmeingabe",c(2680648.19012451, 1247784.78009033)
"30879",30879,"Grünanlage","Tsuga","30878","canadensis","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Tsuga canadensis","WD-5559","bm_30878","Kanadische Hemlocktanne, Schirlingstanne","nicht zugeordnet","Bildschirmeingabe",c(2680648.97009277, 1247785.71008301)
"30880",30880,"Grünanlage","Carpinus","30879","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5560","bm_30879","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680627.20007324, 1247761.66009521)
"30881",30881,"Grünanlage","Carpinus","30880","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5561","bm_30880","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680619.86010742, 1247754.52008057)
"30882",30882,"Grünanlage","Tsuga","30881","canadensis","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Tsuga canadensis","WD-5562","bm_30881","Kanadische Hemlocktanne, Schirlingstanne","nicht zugeordnet","Bildschirmeingabe",c(2680647.77008057, 1247794.7600708)
"30883",30883,"Grünanlage","Tsuga","30882","canadensis","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Tsuga canadensis","WD-5563","bm_30882","Kanadische Hemlocktanne, Schirlingstanne","nicht zugeordnet","Bildschirmeingabe",c(2680644.18011475, 1247796.18011474)
"30884",30884,"Grünanlage","Fagus","30883","sylvatica","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Fagus sylvatica","WD-5564","bm_30883","Rotbuche","nicht zugeordnet","Bildschirmeingabe",c(2680632.5401001, 1247780.84008789)
"30885",30885,"Grünanlage","Salix","30884","alba","Parkbaum","1995","0","Sihlfeld","Aemtlerstrasse","Salix alba","WD-5565","bm_30884","Weiss-Weide, Silber-Weide","nicht zugeordnet","Bildschirmeingabe",c(2680618.61010742, 1247770.18011475)
"30886",30886,"Grünanlage","Picea","30885","abies","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5566","bm_30885","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680739.85009766, 1247801.40008545)
"30887",30887,"Grünanlage","Picea","30886","abies","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5567","bm_30886","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680723.95007324, 1247794.96008301)
"30888",30888,"Grünanlage","Picea","30887","abies","Parkbaum","1950","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5568","bm_30887","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680726.53009033, 1247792.38012696)
"30889",30889,"Grünanlage","Liquidambar","30888","styraciflua","Parkbaum","1950","3","Sihlfeld","Aemtlerstrasse","Liquidambar styraciflua","WD-5569","bm_30888","Amberbaum","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680730.44012451, 1247794.67010498)
"30890",30890,"Grünanlage","Liquidambar","30889","spec.","Parkbaum","1920","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5570","bm_30889","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680732.5401001, 1247791.52008056)
"30891",30891,"Grünanlage","Liquidambar","30890","spec.","Parkbaum","1920","0","Sihlfeld","Aemtlerstrasse","Liquidambar spec.","WD-5571","bm_30890","Amberbaum, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680736.41009521, 1247793.24011231)
"30892",30892,"Grünanlage","Magnolia","30891","spec.","Parkbaum","1920","0","Sihlfeld","Aemtlerstrasse","Magnolia spec.","WD-5572","bm_30891","Magnolie, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680746.72009277, 1247794.96008301)
"30893",30893,"Grünanlage","Ilex","30892","aquifolium","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5573","bm_30892","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680729.53009033, 1247800.11010742)
"30894",30894,"Grünanlage","Ilex","30893","aquifolium","Parkbaum","1879","0","Sihlfeld","Aemtlerstrasse","Ilex aquifolium","WD-5574","bm_30893","Stechpalme","nicht zugeordnet","Bildschirmeingabe",c(2680735.55010986, 1247800.11010742)
"30895",30895,"Grünanlage","Taxus","30894","baccata","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5575","bm_30894","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680734.48010254, 1247800.70007324)
"30896",30896,"Grünanlage","Carpinus","30895","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5576","bm_30895","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680736.42010498, 1247766.55010987)
"30897",30897,"Grünanlage","Carpinus","30896","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5577","bm_30896","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680736.78009033, 1247761.56011963)
"30898",30898,"Grünanlage","Carpinus","30897","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5578","bm_30897","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680742.83007812, 1247767.44012452)
"30899",30899,"Grünanlage","Acer","30898","japonicum","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5579","bm_30898","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680723.95007324, 1247758.71008301)
"30900",30900,"Grünanlage","Acer","30899","japonicum","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5580","bm_30899","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680718.08007812, 1247757.46008301)
"30901",30901,"Grünanlage","Acer","30900","japonicum","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5581","bm_30900","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680720.21008301, 1247746.78009033)
"30902",30902,"Grünanlage","Sophora","30901","japonica","Parkbaum","1878","1","Sihlfeld","Aemtlerstrasse","Sophora japonica","WD-5582","bm_30901","Japanischer Schnurbaum","Höhe:>20m, Breite:>10m","Bildschirmeingabe",c(2680715.7600708, 1247746.42010498)
"30903",30903,"Grünanlage","Sophora","30902","japonica","Parkbaum","1878","1","Sihlfeld","Aemtlerstrasse","Sophora japonica","WD-5583","bm_30902","Japanischer Schnurbaum","Höhe:>20m, Breite:>10m","Bildschirmeingabe",c(2680713.09008789, 1247738.05010987)
"30904",30904,"Grünanlage","Sophora","30903","japonica","Parkbaum","1878","1","Sihlfeld","Aemtlerstrasse","Sophora japonica","WD-5584","bm_30903","Japanischer Schnurbaum","Höhe:>20m, Breite:>10m","Bildschirmeingabe",c(2680686.19012451, 1247713.8201294)
"30905",30905,"Grünanlage","Sophora","30904","japonica","Parkbaum","1878","1","Sihlfeld","Aemtlerstrasse","Sophora japonica","WD-5585","bm_30904","Japanischer Schnurbaum","Höhe:>20m, Breite:>10m","Bildschirmeingabe",c(2680681.03009033, 1247709.91009521)
"30906",30906,"Grünanlage","Juniperus","30905","spec.","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Juniperus spec.","WD-5586","bm_30905","Wacholder, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680679.07012939, 1247734.31011963)
"30907",30907,"Grünanlage","Juniperus","30906","spec.","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Juniperus spec.","WD-5587","bm_30906","Wacholder, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680681.38012695, 1247737.16009522)
"30908",30908,"Grünanlage","Juniperus","30907","spec.","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Juniperus spec.","WD-5588","bm_30907","Wacholder, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680678.71008301, 1247737.5100708)
"30909",30909,"Grünanlage","Acer","30908","japonicum","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Acer japonicum","WD-5589","bm_30908","Eisenhutblättriger Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680677.2901001, 1247704.92010498)
"30910",30910,"Grünanlage","Gleditsia","30909","triacanthos","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Gleditsia triacanthos","WD-5590","bm_30909","Gleditschie, Lederhülsenbaum","nicht zugeordnet","Bildschirmeingabe",c(2680645.40008545, 1247712.58007812)
"30911",30911,"Grünanlage","Gleditsia","30910","triacanthos","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Gleditsia triacanthos","WD-5591","bm_30910","Gleditschie, Lederhülsenbaum","nicht zugeordnet","Bildschirmeingabe",c(2680642.02008057, 1247704.38012695)
"30912",30912,"Grünanlage","Gleditsia","30911","triacanthos","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Gleditsia triacanthos","WD-5593","bm_30911","Gleditschie, Lederhülsenbaum","nicht zugeordnet","Bildschirmeingabe",c(2680641.84008789, 1247723.62011719)
"30913",30913,"Grünanlage","Gleditsia","30912","triacanthos","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Gleditsia triacanthos","WD-5594","bm_30912","Gleditschie, Lederhülsenbaum","nicht zugeordnet","Bildschirmeingabe",c(2680634.72009277, 1247722.55010986)
"30914",30914,"Grünanlage","Taxus","30913","baccata","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5595","bm_30913","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680622.95007324, 1247705.32012939)
"30915",30915,"Grünanlage","Taxus","30914","baccata","Parkbaum","1900","0","Sihlfeld","Aemtlerstrasse","Taxus baccata","WD-5596","bm_30914","Eibe, Gewöhnliche Eibe","nicht zugeordnet","Bildschirmeingabe",c(2680623.33007812, 1247706.46008301)
"30916",30916,"Grünanlage","Carpinus","30915","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5598","bm_30915","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680606.22009277, 1247733.8201294)
"30917",30917,"Grünanlage","Carpinus","30916","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5599","bm_30916","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680619.90008545, 1247721.28009033)
"30918",30918,"Grünanlage","Carpinus","30917","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5600","bm_30917","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680627.5100708, 1247730.78009033)
"30919",30919,"Grünanlage","Carpinus","30918","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5601","bm_30918","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680619.14007568, 1247739.15008545)
"30920",30920,"Grünanlage","Carpinus","30919","betulus","Parkbaum","1878","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5602","bm_30919","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680616.86010742, 1247723.56011963)
"30921",30921,"Grünanlage","Betula","30920","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5603","bm_30920","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680603.94012451, 1247729.64007568)
"30922",30922,"Grünanlage","Betula","30921","nigra","Parkbaum","1878","0","Sihlfeld","Aemtlerstrasse","Betula nigra","WD-5605","bm_30921","Schwarz-Birke, Fluss-Birke","nicht zugeordnet","Bildschirmeingabe",c(2680619.63012695, 1247713.7901001)
"32832",32832,"Grünanlage","Carpinus","32831","betulus","Parkbaum","1990","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5894","bm_32831","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680986.69012451, 1247608.90008545)
"32833",32833,"Grünanlage","Carpinus","32832","betulus","Parkbaum","1990","4","Sihlfeld","Aemtlerstrasse","Carpinus betulus","WD-5895","bm_32832","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680989.2901001, 1247612.46008301)
"32835",32835,"Grünanlage","Picea","32834","omorika","Parkbaum","1990","0","Sihlfeld","Aemtlerstrasse","Picea omorika","WD-5897","bm_32834","Serbische Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680981.7901001, 1247598.36010742)
"32836",32836,"Grünanlage","Picea","32835","omorika","Parkbaum","1990","0","Sihlfeld","Aemtlerstrasse","Picea omorika","WD-5898","bm_32835","Serbische Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680981.86010742, 1247602.52008057)
"32837",32837,"Grünanlage","Picea","32836","omorika","Parkbaum","1990","0","Sihlfeld","Aemtlerstrasse","Picea omorika","WD-5899","bm_32836","Serbische Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680986.2401123, 1247603.41009522)
"32838",32838,"Grünanlage","Pinus","32837","spec.","Parkbaum","2008","0","Sihlfeld","Aemtlerstrasse","Pinus spec.","WD-5900","bm_32837","Kiefer, Art unbekannt","nicht zugeordnet","Bildschirmeingabe",c(2680984.83007812, 1247591.68011475)
"32839",32839,"Grünanlage","Prunus","32838","avium","Parkbaum","1960","6","Sihlfeld","Aemtlerstrasse","Prunus avium","WD-5901","bm_32838","Vogel-Kirsche, Süss-Kirsche","Obstbäume","Bildschirmeingabe",c(2680971.2401123, 1247593.7600708)
"32840",32840,"Grünanlage","Picea","32839","abies","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5902","bm_32839","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680968.4901123, 1247581.88012695)
"32841",32841,"Grünanlage","Acer","32840","saccharinum","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Acer saccharinum","WD-5903","bm_32840","Silber-Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680957.80010986, 1247572.97009277)
"32842",32842,"Grünanlage","Acer","32841","saccharinum","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Acer saccharinum","WD-5904","bm_32841","Silber-Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680951.0401001, 1247569.41009522)
"32843",32843,"Grünanlage","Picea","32842","abies","Parkbaum","1960","0","Sihlfeld","Aemtlerstrasse","Picea abies","WD-5905","bm_32842","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680956.0100708, 1247558.27008057)
"33366",33366,"Strassenbaum","Acer","33365","platanoides","Strassenbaum","2013","4","Sihlfeld","Zypressenstrasse","Acer platanoides 'Cleveland'","WD-6131","bm_33365","Spitz-Ahorn","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680970.37811279, 1247793.12207031)
"33367",33367,"Strassenbaum","Acer","33366","platanoides","Strassenbaum","2013","4","Sihlfeld","Zypressenstrasse","Acer platanoides 'Cleveland'","WD-6132","bm_33366","Spitz-Ahorn","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680980.06610107, 1247803.23907471)
"33368",33368,"Strassenbaum","Acer","33367","platanoides","Strassenbaum","2013","4","Sihlfeld","Zypressenstrasse","Acer platanoides 'Cleveland'","WD-6133","bm_33367","Spitz-Ahorn","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680989.68408203, 1247813.41912842)
"33390",33390,"Strassenbaum","Acer","33389","platanoides","Strassenbaum","2013","4","Sihlfeld","Zypressenstrasse","Acer platanoides 'Cleveland'","WD-6155","bm_33389","Spitz-Ahorn","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680988.8850708, 1247794.98907471)
"33391",33391,"Strassenbaum","Acer","33390","platanoides","Strassenbaum","2013","4","Sihlfeld","Zypressenstrasse","Acer platanoides 'Cleveland'","WD-6156","bm_33390","Spitz-Ahorn","Höhe:10-20m, Breite:<10m","Eingemessen",c(2680979.25909424, 1247784.85510254)
"34945",34945,"Grünanlage","Acer","34944","platanoides","Parkbaum","1970","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Acer platanoides","WD-1617","bm_34944","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680707.08612061, 1247945.36712646)
"34946",34946,"Grünanlage","Acer","34945","platanoides","Parkbaum","1970","0","Sihlfeld","FH Sihlfeld/Albisriederstrasse","Acer platanoides","WD-1618","bm_34945","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680711.38909912, 1247950.56311035)
